id,department_id,name,status
stu_0001,dep_cs,Student 1,active
stu_0002,dep_cs,Student 2,active
stu_0003,dep_eng,Student 3,active
stu_0004,dep_hum,Student 4,active
stu_0005,dep_bus,Student 5,active
stu_0006,dep_cs,Student 6,active
stu_0007,dep_cs,Student 7,active
stu_0008,dep_cs,Student 8,active
stu_0009,dep_bio,Student 9,active
stu_0010,dep_hum,Student 10,active
stu_0011,dep_cs,Student 11,active
stu_0012,dep_eng,Student 12,active
stu_0013,dep_bio,Student 13,active
stu_0014,dep_eng,Student 14,active
stu_0015,dep_cs,Student 15,active
stu_0016,dep_bus,Student 16,active
stu_0017,dep_hum,Student 17,active
stu_0018,dep_cs,Student 18,active
stu_0019,dep_eng,Student 19,active
stu_0020,dep_eng,Student 20,active
stu_0021,dep_bus,Student 21,active
stu_0022,dep_hum,Student 22,active
stu_0023,dep_eng,Student 23,active
stu_0024,dep_bus,Student 24,active
stu_0025,dep_hum,Student 25,active
stu_0026,dep_bus,Student 26,active
stu_0027,dep_eng,Student 27,active
stu_0028,dep_bus,Student 28,active
stu_0029,dep_hum,Student 29,active
stu_0030,dep_hum,Student 30,active
stu_0031,dep_hum,Student 31,active
stu_0032,dep_cs,Student 32,active
stu_0033,dep_cs,Student 33,active
stu_0034,dep_eng,Student 34,active
stu_0035,dep_hum,Student 35,active
stu_0036,dep_bio,Student 36,active
stu_0037,dep_bus,Student 37,active
stu_0038,dep_bio,Student 38,active
stu_0039,dep_bus,Student 39,active
stu_0040,dep_bus,Student 40,active
stu_0041,dep_hum,Student 41,active
stu_0042,dep_bio,Student 42,active
stu_0043,dep_bio,Student 43,active
stu_0044,dep_bus,Student 44,active
stu_0045,dep_eng,Student 45,active
stu_0046,dep_bio,Student 46,active
stu_0047,dep_cs,Student 47,active
stu_0048,dep_cs,Student 48,active
stu_0049,dep_bio,Student 49,active
stu_0050,dep_bio,Student 50,active
stu_0051,dep_hum,Student 51,active
stu_0052,dep_cs,Student 52,active
stu_0053,dep_bus,Student 53,active
